userId,movieId,tag,tag_normalized,tag_datetime,timestamp
2,60756,funny,funny,2015-10-24 19:29:54,1445714994
2,60756,Highly quotable,highly quotable,2015-10-24 19:29:56,1445714996
2,60756,will ferrell,will ferrell,2015-10-24 19:29:52,1445714992
2,89774,Boxing story,boxing story,2015-10-24 19:33:27,1445715207
2,89774,MMA,mma,2015-10-24 19:33:20,1445715200
2,89774,Tom Hardy,tom hardy,2015-10-24 19:33:25,1445715205
2,106782,drugs,drugs,2015-10-24 19:30:54,1445715054
2,106782,Leonardo DiCaprio,leonardo dicaprio,2015-10-24 19:30:51,1445715051
2,106782,Martin Scorsese,martin scorsese,2015-10-24 19:30:56,1445715056
7,48516,way too long,way too long,2007-01-25 01:08:45,1169687325
18,431,Al Pacino,al pacino,2016-05-01 21:39:25,1462138765
18,431,gangster,gangster,2016-05-01 21:39:09,1462138749
18,431,mafia,mafia,2016-05-01 21:39:15,1462138755
18,1221,Al Pacino,al pacino,2016-04-26 19:35:06,1461699306
18,1221,Mafia,mafia,2016-04-26 19:35:03,1461699303
18,5995,holocaust,holocaust,2016-02-17 18:57:52,1455735472
18,5995,true story,true story,2016-02-17 18:57:59,1455735479
18,44665,twist ending,twist ending,2016-03-02 19:51:23,1456948283
18,52604,Anthony Hopkins,anthony hopkins,2016-03-10 22:58:16,1457650696
18,52604,courtroom drama,courtroom drama,2016-03-10 22:58:31,1457650711
18,52604,twist ending,twist ending,2016-03-10 22:58:02,1457650682
18,88094,britpop,britpop,2016-03-08 13:41:40,1457444500
18,88094,indie record label,indie record label,2016-03-08 13:43:12,1457444592
18,88094,music,music,2016-03-08 13:43:29,1457444609
18,144210,dumpster diving,dumpster diving,2016-02-09 23:26:21,1455060381
18,144210,Sustainability,sustainability,2016-02-09 23:27:32,1455060452
21,1569,romantic comedy,romantic comedy,2014-12-28 22:23:33,1419805413
21,1569,wedding,wedding,2014-12-28 22:23:39,1419805419
21,118985,painter,painter,2014-12-28 22:24:37,1419805477
21,119141,bloody,bloody,2014-12-28 19:12:42,1419793962
49,109487,black hole,black hole,2017-04-25 04:08:26,1493093306
49,109487,sci-fi,sci fi,2017-04-25 04:08:52,1493093332
49,109487,time-travel,time travel,2017-04-25 04:09:16,1493093356
62,2,fantasy,fantasy,2018-06-12 22:52:09,1528843929
62,2,magic board game,magic board game,2018-06-12 22:52:12,1528843932
62,2,Robin Williams,robin williams,2018-06-12 22:51:47,1528843907
62,110,beautiful scenery,beautiful scenery,2018-06-04 22:49:01,1528152541
62,110,epic,epic,2018-06-04 22:48:52,1528152532
62,110,historical,historical,2018-06-04 22:48:43,1528152523
62,110,inspirational,inspirational,2018-06-04 22:48:47,1528152527
62,110,Medieval,medieval,2018-06-04 22:48:48,1528152528
62,110,mel gibson,mel gibson,2018-06-04 22:48:41,1528152521
62,110,Oscar (Best Cinematography),oscar best cinematography,2018-06-04 22:48:59,1528152539
62,110,revenge,revenge,2018-06-04 22:48:51,1528152531
62,110,sword fight,sword fight,2018-06-04 22:48:55,1528152535
62,410,black comedy,black comedy,2018-05-06 19:56:47,1525636607
62,410,Christina Ricci,christina ricci,2018-05-06 19:58:05,1525636685
62,410,Christopher Lloyd,christopher lloyd,2018-05-06 19:57:02,1525636622
